Game_Designer	by Thomas Tang (DZ)
Last_Update	Last Updated: July 15, 2026
Blank	
Translator_Credit	Original Language
Language	Language
Loading	Loading
Update_History	Update History
Upload_Translation	Upload Translation
Download_English	Download English
Select_Region	Select Region
US_West_Coast	US West Coast
US_East_Coast	US East Coast
Europe	Europe
Asia	Asia
Single_Player	Single Player
Connect	Connect
Enter_username	Enter username
Disconnect	Disconnect
Disconnected_from_server	Disconnected from the server.
Failed_to_connect_to_server	Failed to connect to the server.
Resign	Resign
Volume	Volume
Pause_Setting	Enable pauses for reading
Undo_Setting	Ask at end of turn if you want to undo anything
Click_Setting	Ask when there's only one option to choose
Sound_Credits	Sound Credits
Reconnect	Reconnect
Tutorial_1	To play multiplayer: Have 1 person create a room, then their room should be displayed below. Everyone also must have joined the same server region.
Tutorial_2	Click a button below to join a room, or manually type in the host's username (yellow rooms are spectator only)
Create_Room_with_players	Create a room with how many players?
Enter_hostname	Enter host's username
Join	Join
Player_Count	$Current$ / $Max$ Players
Type_in_username	You have to type in a username.
Attempt_to_reconnect	Attempting to reconnect to $Room$'s room...
Failed_to_reconnect	Failed to reconnect to $Room$'s room.
Choose_Cards	Choose Areas for this game
Custom_Area_1	Area 1
Custom_Area_2	Area 2
Custom_Area_3	Area 3
Custom_Area_4	Area 4
Choose	Choose
Random	Random
Message_All	Type into chat (message all)
Message_Specs	Type into chat (message spectators)
Online_Player_Playing	$Player$ is playing.
Online_Player_Spectating	$Player$ is spectating.
Online_Player_Reconnected	$Player$ reconnected.
Online_Player_Disconnected	$Player$ has disconnected.
Online_Player_Quit	$Player$ has quit the room.
Online_Waiting_on_Players	Waiting on players ($Num$ more)
Undo	Undo
Short	Short
Long	Long
Switch_Player	Switch Player
Rules	Rules
Rules_Summary	Each Round: \n1. Redetermine who Controls each Area (highest total of TroopIcon + ScoutIcon). \n2. Visit the next Area and get its Travel Bonus. \n3. Follow the Area's instructions. \n4. You may spend ActionIcon to play CardIcon from your hand (paying its CoinIcon cost). \n5. If a player has all their TroopIcon in Area 4 (ScoutIcon doesn't matter), they win.
Travel_Bonus	Travel Bonus
Travel_Bonus_Text	Area 1: +1 ActionIcon; Area 2: +3 CoinIcon; Area 3: +1 CardIcon; Area 4: +3 CoinIcon
CardIcon	CardIcon
CoinIcon	CoinIcon
ActionIcon	ActionIcon
TroopIcon	TroopIcon
TroopIcon_Text	TroopIcon: Move all your TroopIcon to Area 4 to win.
ScoutIcon	ScoutIcon
Control	Control
Control_Text	Most TroopIcon + ScoutIcon in an Area.
Online_Next_Turn	Visiting $Area$
Online_Add_Coin	$Player$ gains $Num$ CoinIcon.
Online_Lose_Coin	$Player$ loses $Num$ CoinIcon.
Online_Add_Action	$Player$ gains $Num$ ActionIcon.
Online_Lose_Action	$Player$ loses $Num$ ActionIcon.
Force_Advance	Advance TroopIcon ($Num1$ / $Num2$).
Ask_Advance	Advance TroopIcon?
Online_Advance_Troop	$Player$ advances $Num$ TroopIcon from Area $Num1$ to $Num2$.
Fail_Advance	$Player$ can't advance any TroopIcon.
Force_Retreat	Retreat TroopIcon ($Num1$ / $Num2$).
Ask_Retreat	Retreat TroopIcon?
Online_Retreat_Troop	$Player$ retreats $Num$ TroopIcon from Area $Num1$ to $Num2$.
Force_Add	Add ScoutIcon ($Num1$ / $Num2$).
Ask_Add	Add ScoutIcon?
Online_Add_Scout	$Player$ adds $Num$ ScoutIcon to Area $AreaNum$.
Force_Remove	Remove ScoutIcon ($Num1$ / $Num2$).
Ask_Remove	Remove ScoutIcon?
Online_Remove_Scout	$Player$ removes $Num$ ScoutIcon from Area $AreaNum$.
Online_Draw_Card	$Player$ draws $Card$.
